objectid,parentid,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,longitude,latitude
"302",,Padget Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.5575,42.39916667
"303",,Palmer Cemetery,,,,cemetery,Sherburne,,,,,,,,record,,,,-75.44,42.74027778
"304",,Parks Cemetery,,,,cemetery,Bainbridge,,,,,,,,record,,,,-75.45361111,42.30166667
"305",,Pearsall Cemetery,,,,cemetery,Bainbridge,,,,,,,,record,,,,-75.45027778,42.30916667
"306",,Pendleton Cemetery,,,,cemetery,Columbus,,,,,,,,record,,,,-75.40222222,42.70055556
"307",,Pendleton Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.52444444,42.48972222
"309",,Perkins Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,,
"311",,Perry Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.67277778,42.59361111
"312",,Phetteplace Cemetery,,,,cemetery,McDonough,,,,,,,,record,,,,-75.72722222,42.53222222
"313",,Phetterplace Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.45805556,42.48222222
"314",,Phillips Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.39722222,42.54027778
"315",,Phillips #2 Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.55833333,42.63888889
"316",,Pike-Hawkins Cemetery,,,,cemetery,Coventry,,,,,,,,record,,,,-75.63444444,42.315
"318",,Pitcher Congregational Church Cemetery,,,,cemetery,Pitcher,,,,,,,,record,,,,-75.85972222,42.58111111
"320",,Prosser Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,,
"321",,Quaker Cemetery,,,,cemetery,Smyrna,,,,,,,,record,,,,-75.57444444,42.67805556
"323",,Ramsdale Cemetery,,,,cemetery,Sherburne,,,,,,,,record,,,,-75.44388889,42.73888889
"325",,Reynolds Cemetery,,,,cemetery,Smyrna,,,,,,,,record,,,,-75.5636234332675,42.6680317933929
"326",,Rhode Island Cemetery,,,,cemetery,Lincklaen,,,,,,,,record,,,,-75.80138889,42.67305556
"327",,Rich-Sage Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.535,42.5375
"328",,Riverside #1 Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.38833333,42.52361111
"329",,Riverside #2 Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.38944444,42.52444444
"330",,Riverside Rural Cemetery,,,,cemetery,North Norwich,,,,,,,,record,,,,-75.52666667,42.58666667
"332",,Robbins Cemetery,,,,cemetery,Otselic,,,,,,,,record,,,,-75.69166667,42.68972222
"333",,Robbins Cemetery,,,,cemetery,Sherburne,,,,,,,,record,,,,-75.42694444,42.65055556
"334",,Robinson Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.39361111,42.58861111
"335",,Rogers Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.63444444,42.50972222
"336",,Ross Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.59972222,42.44194444
"337",,Rounds Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.57694444,42.38388889
"338",,Saint Andrew's Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.33388889,42.62138889
"339",,Saint Joseph's Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.60555556,42.44277778
"341",,Saint Paul's Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.5275,42.55916667
"342",,Saint Peter's Cemetery,,,,cemetery,Bainbridge,,,,,,,,record,,,,-75.48111111,42.29111111
"343",,Samuel E. Lewis Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.59111111,42.48944444
"344",,Scribner Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.33722222,42.59388889
"345",,Seventh Day Baptist Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.63388889,42.50944444
"347",,Seymour Cemetery,,,,cemetery,Plymouth,,,,,,,,record,,,,,
"348",,Shapley Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.55944444,42.40638889
"349",,Sherman Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.41694444,42.58472222
"350",,Sherwood Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.62222222,42.45111111
"351",,Skillman Cemetery,,,,cemetery,McDonough,,,,,,,,record,,,,,
"352",,Smith Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.45833333,42.34222222
"353",,Smith Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,,
"354",,Smith Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.56388889,42.48111111
"355",,Soper Cemetery,,,,cemetery,Pitcher,,,,,,,,record,,,,-75.82111111,42.57972222
"356",,South Plymouth Cemetery,,,,cemetery,Plymouth,,,,,,,,record,,,,-75.5525,42.57638889
"358",,Stafford Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.63027778,42.46861111
"359",,Stanbro Cemetery,,,,cemetery,Otselic,,,,,,,,record,,,,-75.68916667,42.67694444
"360",,Stead Farm Plot,,,,cemetery,Guilford,,,,,,,,record,,,,,
"361",,Stebbins Cemetery,,,,cemetery,Smyrna,,,,,,,,record,,,,-75.62472222,42.66222222
"362",,Steere Cemetery,,,,cemetery,McDonough,,,,,,,,record,,,,-75.66694444,42.52555556
"363",,Steere Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.33111111,42.64888889
"364",,Stevens Cemetery,,,,cemetery,Afton,,,,,,,,record,,,,-75.62222222,42.20527778
"365",,Stewart's Corners Cemetery,,,,cemetery,Plymouth,,,,,,,,record,,,,-75.58583333,42.60444444
"366",,Stover Cemetery,,,,cemetery,Smyrna,,,,,,,,record,,,,-75.5695834555513,42.655801075319
"367",,Sunset Hill Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.49805556,42.40638889
"368",,Sylvan Lawn Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.76111111,42.32666667
"371",,Terwilliger Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.82527778,42.25222222
"372",,Tiffany Cemetery,,,,cemetery,North Norwich,,,,,,,,record,,,,-75.45777778,42.58694444
"373",,Tillotsen Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.72944444,42.25333333
"374",,Tillotson Cemetery,,,,cemetery,Columbus,,,,,,,,record,,,,-75.42583333,42.72361111
"375",,Tillotson Cemetery,,,,cemetery,McDonough,,,,,,,,record,,,,,
"376",,Towsley-Fairchild Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.7475,42.43333333
"377",,Towsley-Moore Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.7325,42.42777778
"378",,Towsley-Pond Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.72861111,42.42277778
"379",,Tremain Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.68222222,42.36138889
"380",,Tucker Burial Plot,,,,cemetery,Pharsalia,,,,,,,,record,,,,,
"382",,Twitchell Cemetery,,,,cemetery,McDonough,,,,,,,,record,,,,-75.72361111,42.5125
"384",,Union Cemetery,,,,cemetery,McDonough,,,,,,,,record,,,,-75.77166667,42.49972222
"385",,Union Valley Cemetery,,,,cemetery,Bainbridge,,,,,,,,record,,,,,
"386",,Unknown Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,,
"387",,Unnamed #1 Cemetery,,,,cemetery,McDonough,,,,,,,,record,,,,-75.69388889,42.54083333
"388",,Unnamed #1 Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,,
"389",,Unnamed #2 Cemetery,,,,cemetery,McDonough,,,,,,,,record,,,,-75.76666667,42.49805556
"390",,Unnamed #2 Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,,
"391",,Unnamed #3 Cemetery,,,,cemetery,McDonough,,,,,,,,record,,,,-75.72694444,42.47444444
"392",,Upper Geneganslet Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.80222222,42.34777778
"394",,Upper Phelps Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.37222222,42.54416667
"395",,Upper Smithville Flats Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.8075,42.39888889
"396",,Valley View Cemetery,,,,cemetery,Otselic,,,,,,,,record,/objects/396.jpg,,,-75.78194444,42.64527778
"397",,Van Ness Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.72777778,42.32
"398",,Van Wagenen Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.58,42.44638889
"399",,Village Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.60222222,42.44333333
"400",,Volmer's Farm Cemetery,,,,cemetery,Sherburne,,,,,,,,record,,,,,
"401",,Vroman Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.70111111,42.59166667
"402",,Wait Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.62388889,42.53222222
"403",,Waldron Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.78527778,42.42361111
"404",,Watson Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.7625,42.33833333
"405",,Wayside Rest Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.78638889,42.51
"406",,Wells Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.56805556,42.50805556
"407",,West Bainbridge Cemetery,,,,cemetery,Bainbridge,,,,,,,,record,,,,-75.53583333,42.32222222
"410",,Westview Cemetery,,,,cemetery,German,,,,,,,,record,,,,-75.86166667,42.49166667
"411",,Whipple Farm Plot,,,,cemetery,McDonough,,,,,,,,record,,,,,
"413",,White Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.69611111,42.56777778
"414",,Whitmarsh Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.80166667,42.36861111
"415",,Widger Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.64694444,42.49083333
"418",,Wilcox Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.64083333,42.42638889
"420",,Willard Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.82805556,42.24972222
"424",,WRC (New York State) Veterans Home Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.5775,42.44611111
"425",,Wyatt Cemetery,,,,cemetery,German,,,,,,,,record,,,,-75.81555556,42.53166667
"428",,Yale Cemetery,,,,cemetery,McDonough,,,,,,,,record,,,,-75.76138889,42.52638889
"429",,Yaleville Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.50027778,42.36138889
"430",,Yeomans Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.62222222,42.51722222
"433",,Glenwood Cemetery,,,,cemetery,Afton,,,,,,,,record,,,,-75.532377,42.231713
"436",,Church Hollow Cemetery,,,,cemetery,Afton,,,,,,,,record,,,,-75.61821,42.216403
"438",,Melondy Hill Cemetery,,,,cemetery,Afton,,,,,,,,record,,,,-75.464951,42.202893
"441",,West Bainbridge Cemetery,,,,cemetery,Bainbridge,,,,,,,,record,,,,-75.535379,42.322701
"442",,Bush Family Cemetery,,,,cemetery,Bainbridge,,,,,,,,record,,,,-75.466879,42.301053
"444",,Bennettsville Cemetery,,,,cemetery,Bainbridge,,,,,,,,record,,,,-75.450079,42.256631
"446",,Campbell Cemetery,,,,cemetery,Columbus,,,,,,,,record,,,,-75.402199,42.700376
"447",,Millers Corner Cemetery,,,,cemetery,Columbus,,,,,,,,record,,,,-75.359938,42.709668
"448",,Perkins Cemetery,,,,cemetery,Columbus,,,,,,,,record,,,,-75.3209,42.703438
"449",,Columbus Quarter Cemetery,,,,cemetery,Columbus,,,,,,,,record,,,,-75.317902,42.709497
"450",,Columbus Center Cemetery,,,,cemetery,Columbus,,,,,,,,record,,,,-75.364597,42.673693
"451",,Lambs Corners Cemetery,,,,cemetery,Columbus,,,,,,,,record,,,,-75.328071,42.682858
"452",,Pendleton Cemetery,,,,cemetery,Columbus,,,,,,,,record,,,,-75.367016,42.64497
"456",,Wylie Cemetery,,,,cemetery,Coventry,,,,,,,,record,,,,-75.638471,42.28584
"457",,Old Chapel Cemetery,,,,cemetery,Coventry,,,,,,,,record,,,,-75.658145,42.283964
"461",,Barnes Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.844354,42.349325
"462",,Cummings Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.771482,42.363793
"463",,Tillotson Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.728995,42.352681
"465",,Morse Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.80203,42.327462
"468",,Lower Geneganslet Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.805349,42.299159
"469",,Winston Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.737331,42.280822
"470",,Upper Page Brook Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.712494,42.294543
"471",,Elliott Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.763175,42.259051
"472",,Oak Grove Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.828423,42.249515
"473",,Shumway Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.475258,42.452608
"474",,Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.504019,42.412498
"477",,Town Of Guilford,,,,cemetery,Guilford,,,,,,,,record,,,,-75.381843,42.4259
"478",,Mount Upton Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.380312,42.415103
"479",,Gospel Hill Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.515437,42.406124
"481",,Guilford Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.497887,42.407959
"482",,Rockdale Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.404963,42.390102
"483",,Ives Settlement Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.45867,42.378787
"484",,Trestle Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.438931,42.377396
"485",,Yale Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.512998,42.34937
"486",,Yaleville Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.500625,42.361347
"487",,Cooper Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.489239,42.347751
"488",,White Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.452381,42.359015
"489",,East Guilford Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.405863,42.340929
"493",,Guilford Historical Society,,,,cemetery,Guilford,,,,,,,,record,,,,-75.516369,42.391553
"494",,Red School House Cemetery,,,,cemetery,Lincklaen,,,,,,,,record,,,,-75.887274,42.719215
"495",,Lincklaen Center Cemetery,,,,cemetery,Lincklaen,,,,,,,,record,,,,-75.84954,42.710026
"496",,Woodlawn Cemetery,,,,cemetery,Lincklaen,,,,,,,,record,,,,-75.870564,42.672199
"498",,Freeman Cemetery,,,,cemetery,Lincklaen,,,,,,,,record,,,,-75.85797,42.645863
"499",,Union Cemetery,,,,cemetery,Mcdonough,,,,,,,,record,,,,-75.771623,42.501245
"500",,Miller-Gale Cemetery,,,,cemetery,Mcdonough,,,,,,,,record,,,,-75.687478,42.511775
"501",,Lewis Cemetery,,,,cemetery,Mcdonough,,,,,,,,record,,,,-75.768055,42.49987
"502",,Presbyterian Cemetery,,,,cemetery,Mcdonough,,,,,,,,record,,,,-75.768118,42.499604
"503",,Corbin Cemetary,,,,cemetery,Mcdonough,,,,,,,,record,,,,-75.684951,42.482334
"504",,Moore Cemetery,,,,cemetery,Mcdonough,,,,,,,,record,,,,-75.686203,42.466615
"505",,Steere Cemetery,,,,cemetery,Mcdonough,,,,,,,,record,,,,-75.669835,42.525485
"507",,Fairview Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.335535,42.621522
"509",,Medbury Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.382341,42.629107
"510",,Dyer Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.415513,42.612034
"512",,Wightman Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.401197,42.562265
"514",,Rich Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.399865,42.537654
"516",,Holmesville Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.399199,42.516958
"517",,North Norwich Cemetery,,,,cemetery,North Norwich,,,,,,,,record,,,,-75.519194,42.619322
"518",,King Settlement Cemetery,,,,cemetery,North Norwich,,,,,,,,record,,,,-75.46357,42.594725
"519",,Buell Cemetery,,,,cemetery,North Norwich,,,,,,,,record,,,,-75.458283,42.601237
"520",,Plasterville Cemetery,,,,cemetery,North Norwich,,,,,,,,record,,,,-75.522291,42.585918
"521",,Aldrich Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.544808,42.551704
"523",,St Paul Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.528087,42.554915
"524",,Woods Corner Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.519135,42.556649
"530",,Burlingame Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.510444,42.519247
"531",,Hoag Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.450603,42.482175
"532",,White Store Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.406052,42.483653
"533",,Maple Grove Cemetery,,,,cemetery,Otselic,,,,,,,,record,,,,-75.730647,42.710813
"534",,7th Day Hollow Baptist Cemeter,,,,cemetery,Otselic,,,,,,,,record,,,,-75.761458,42.684667
"536",,Tallett Hill Cemetery,,,,cemetery,Otselic,,,,,,,,record,,,,-75.7251591805606,42.6656376660705
"537",,Cole Hill Cemetery,,,,cemetery,Otselic,,,,,,,,record,,,,-75.686803,42.650199
"541",,Riverview Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.585412,42.442729
"542",,Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.580447,42.459216
"545",,Van Wagener Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.579138,42.446507
"547",,Millbrook Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.623142,42.42918
"548",,Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.535645,42.407973
"549",,Little Falls Burying Ground,,,,cemetery,Oxford,,,,,,,,record,,,,-75.60401,42.39419
"551",,Tenbroeck Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.655008,42.376169
"552",,Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.522222,42.375258
"553",,"LeGar, Martha",,,,cemetery,Oxford,,,,,,,,record,,,,-75.643104,42.422891
"554",,Northwest Corners Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.772683,42.629722
"555",,Center Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.752648,42.599419
"556",,Wayside Rest Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.784737,42.578024
"557",,East Pharsalia Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.7177,42.556321
"558",,Pink Hill Cemetery,,,,cemetery,Pitcher,,,,,,,,record,,,,-75.861373,42.623524
"559",,North Pitcher Episcopal Church Cemetery,,,,cemetery,Pitcher,,,,,,,,record,,,,-75.818186,42.625079
"560",,Ufford Cemetery,,,,cemetery,Pitcher,,,,,,,,record,,,,-75.808688,42.630212
"563",,Presbyterian Cemetery,,,,cemetery,Plymouth,,,,,,,,record,,,,-75.606031,42.619668
"564",,South Side Plymouth Cemetery,,,,cemetery,Plymouth,,,,,,,,record,,,,-75.597815,42.615471
"566",,Heady's Corners (Heady) Cemetery,,,,cemetery,Plymouth,,,,,,,,record,,,,-75.6178,42.560058
"567",,Levee Cemetery,,,,cemetery,Plymouth,,,,,,,,record,,,,-75.646851,42.596888
"568",,Daniels Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.666529,42.550152
"569",,J D Lewis Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.638654,42.530715
"570",,Packer Mason Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.598183,42.536438
"571",,Brown Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.633996,42.509734
"572",,Rogers Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.633577,42.507535
"573",,Rogers Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.63336,42.494963
"574",,Lewis Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.565583,42.486443
"575",,Whispering Pines Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.564039,42.483117
"576",,Mason-Packer Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.590492,42.4898
"577",,Turner Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.574856,42.497246
"578",,St Malachy's Church,,,,cemetery,Sherburne,,,,,,,,record,,,,-75.49295,42.688391
"582",,West Hill Cemetery,,,,cemetery,Sherburne,,,,,,,,record,,,,-75.532298,42.694589
"583",,Sherburne Quarter,,,,cemetery,Sherburne,,,,,,,,record,,,,-75.507088,42.693096
"585",,East Hill Cemetery,,,,cemetery,Sherburne,,,,,,,,record,,,,-75.453883,42.691752
"586",,Harrisville Cemetery,,,,cemetery,Sherburne,,,,,,,,record,,,,-75.46482,42.68028
"588",,Waldon Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.774545,42.441094
"589",,Perkins Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.759655,42.441696
"590",,Clobridge Family Cemetery Corp,,,,cemetery,Smithville,,,,,,,,record,,,,-75.707457,42.448361
"591",,Wilcox Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.664166,42.444027
"592",,Loomis Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.664202,42.435191
"596",,Cowles Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.729299,42.401503
"597",,Knickerbocker Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.758495,42.399922
"598",,Knickerbocker Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.758495,42.399922
"599",,Miller Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.706142,42.410944
"600",,Maple Grove Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.808871,42.388384
"601",,West Cemetery Of Smyrna,,,,cemetery,Smyrna,,,,,,,,record,,,,-75.574989,42.686845
"602",,Smyrna East Cemetery,,,,cemetery,Smyrna,,,,,,,,record,,,,-75.565102,42.688056
"604",,Wilcox Cemetery,,,,cemetery,Smyrna,,,,,,,,record,,,,-75.553405,42.721301
"606",,"Dehne, Perry",,,,cemetery,Smyrna,,,,,,,,record,,,,-75.593629,42.708249
