title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,reference_url
"Neff Cemetery","","","","cemetery","Pharsalia","42.5619326961089","-75.757640271315","","","","","","","","/item.html?id=286"
"Newton Cemetery","","","","cemetery","Pharsalia","42.61555556","-75.73111111","","","","","","","","/item.html?id=287"
"Nichols Cemetery","","","","cemetery","Smithville","42.43666667","-75.69194444","","","","","","","","/item.html?id=288"
"North Afton Cemetery","","","","cemetery","Afton","42.27361111","-75.54166667","","","","","","","","/item.html?id=289"
"North Canal Street Cemetery","","","","cemetery","Greene","42.33277778","-75.76888889","","","","","","","","/item.html?id=290"
"North Guilford Cemetery","","","","cemetery","Guilford","42.4525","-75.47472222","","","","","","","","/item.html?id=291"
"North Pharsalia Cemetery","","","","cemetery","Pharsalia","42.60944444","-75.70027778","","","","","","","","/item.html?id=294"
"North Side Burying Ground","","","","cemetery","Plymouth","42.62944444","-75.61555556","","","","","","","","/item.html?id=295"
"Norwich Quarter Cemetery","","","","cemetery","Norwich","42.555","-75.46694444","","","","","","","","/item.html?id=297"
"Old Burlingame Burial Ground","","","","cemetery","Norwich","42.52055556","-75.515","","","","","","","","/item.html?id=299"
"Padget Cemetery","","","","cemetery","Oxford","42.39916667","-75.5575","","","","","","","","/item.html?id=302"
"Palmer Cemetery","","","","cemetery","Sherburne","42.74027778","-75.44","","","","","","","","/item.html?id=303"
"Parks Cemetery","","","","cemetery","Bainbridge","42.30166667","-75.45361111","","","","","","","","/item.html?id=304"
"Pearsall Cemetery","","","","cemetery","Bainbridge","42.30916667","-75.45027778","","","","","","","","/item.html?id=305"
"Pendleton Cemetery","","","","cemetery","Columbus","42.70055556","-75.40222222","","","","","","","","/item.html?id=306"
"Pendleton Cemetery","","","","cemetery","Norwich","42.48972222","-75.52444444","","","","","","","","/item.html?id=307"
"Perkins Cemetery","","","","cemetery","New Berlin","","","","","","","","","","/item.html?id=309"
"Perry Cemetery","","","","cemetery","Pharsalia","42.59361111","-75.67277778","","","","","","","","/item.html?id=311"
"Phetteplace Cemetery","","","","cemetery","McDonough","42.53222222","-75.72722222","","","","","","","","/item.html?id=312"
"Phetterplace Cemetery","","","","cemetery","Norwich","42.48222222","-75.45805556","","","","","","","","/item.html?id=313"
"Phillips Cemetery","","","","cemetery","New Berlin","42.54027778","-75.39722222","","","","","","","","/item.html?id=314"
"Phillips #2 Cemetery","","","","cemetery","New Berlin","42.63888889","-75.55833333","","","","","","","","/item.html?id=315"
"Pike-Hawkins Cemetery","","","","cemetery","Coventry","42.315","-75.63444444","","","","","","","","/item.html?id=316"
"Pitcher Congregational Church Cemetery","","","","cemetery","Pitcher","42.58111111","-75.85972222","","","","","","","","/item.html?id=318"
"Prosser Cemetery","","","","cemetery","New Berlin","","","","","","","","","","/item.html?id=320"
"Quaker Cemetery","","","","cemetery","Smyrna","42.67805556","-75.57444444","","","","","","","","/item.html?id=321"
"Ramsdale Cemetery","","","","cemetery","Sherburne","42.73888889","-75.44388889","","","","","","","","/item.html?id=323"
"Reynolds Cemetery","","","","cemetery","Smyrna","42.6680317933929","-75.5636234332675","","","","","","","","/item.html?id=325"
"Rhode Island Cemetery","","","","cemetery","Lincklaen","42.67305556","-75.80138889","","","","","","","","/item.html?id=326"
"Rich-Sage Cemetery","","","","cemetery","New Berlin","42.5375","-75.535","","","","","","","","/item.html?id=327"
"Riverside #1 Cemetery","","","","cemetery","New Berlin","42.52361111","-75.38833333","","","","","","","","/item.html?id=328"
"Riverside #2 Cemetery","","","","cemetery","New Berlin","42.52444444","-75.38944444","","","","","","","","/item.html?id=329"
"Riverside Rural Cemetery","","","","cemetery","North Norwich","42.58666667","-75.52666667","","","","","","","","/item.html?id=330"
"Robbins Cemetery","","","","cemetery","Otselic","42.68972222","-75.69166667","","","","","","","","/item.html?id=332"
"Robbins Cemetery","","","","cemetery","Sherburne","42.65055556","-75.42694444","","","","","","","","/item.html?id=333"
"Robinson Cemetery","","","","cemetery","New Berlin","42.58861111","-75.39361111","","","","","","","","/item.html?id=334"
"Rogers Cemetery","","","","cemetery","Preston","42.50972222","-75.63444444","","","","","","","","/item.html?id=335"
"Ross Cemetery","","","","cemetery","Oxford","42.44194444","-75.59972222","","","","","","","","/item.html?id=336"
"Rounds Cemetery","","","","cemetery","Oxford","42.38388889","-75.57694444","","","","","","","","/item.html?id=337"
"Saint Andrew&#39;s Cemetery","","","","cemetery","New Berlin","42.62138889","-75.33388889","","","","","","","","/item.html?id=338"
"Saint Joseph&#39;s Cemetery","","","","cemetery","Oxford","42.44277778","-75.60555556","","","","","","","","/item.html?id=339"
"Saint Paul&#39;s Cemetery","","","","cemetery","Norwich","42.55916667","-75.5275","","","","","","","","/item.html?id=341"
"Saint Peter&#39;s Cemetery","","","","cemetery","Bainbridge","42.29111111","-75.48111111","","","","","","","","/item.html?id=342"
"Samuel E. Lewis Cemetery","","","","cemetery","Preston","42.48944444","-75.59111111","","","","","","","","/item.html?id=343"
"Scribner Cemetery","","","","cemetery","New Berlin","42.59388889","-75.33722222","","","","","","","","/item.html?id=344"
"Seventh Day Baptist Cemetery","","","","cemetery","Preston","42.50944444","-75.63388889","","","","","","","","/item.html?id=345"
"Seymour Cemetery","","","","cemetery","Plymouth","","","","","","","","","","/item.html?id=347"
"Shapley Cemetery","","","","cemetery","Oxford","42.40638889","-75.55944444","","","","","","","","/item.html?id=348"
"Sherman Cemetery","","","","cemetery","New Berlin","42.58472222","-75.41694444","","","","","","","","/item.html?id=349"
"Sherwood Cemetery","","","","cemetery","Oxford","42.45111111","-75.62222222","","","","","","","","/item.html?id=350"
"Skillman Cemetery","","","","cemetery","McDonough","","","","","","","","","","/item.html?id=351"
"Smith Cemetery","","","","cemetery","Guilford","42.34222222","-75.45833333","","","","","","","","/item.html?id=352"
"Smith Cemetery","","","","cemetery","Oxford","","","","","","","","","","/item.html?id=353"
"Smith Cemetery","","","","cemetery","Preston","42.48111111","-75.56388889","","","","","","","","/item.html?id=354"
"Soper Cemetery","","","","cemetery","Pitcher","42.57972222","-75.82111111","","","","","","","","/item.html?id=355"
"South Plymouth Cemetery","","","","cemetery","Plymouth","42.57638889","-75.5525","","","","","","","","/item.html?id=356"
"Stafford Cemetery","","","","cemetery","Preston","42.46861111","-75.63027778","","","","","","","","/item.html?id=358"
"Stanbro Cemetery","","","","cemetery","Otselic","42.67694444","-75.68916667","","","","","","","","/item.html?id=359"
"Stead Farm Plot","","","","cemetery","Guilford","","","","","","","","","","/item.html?id=360"
"Stebbins Cemetery","","","","cemetery","Smyrna","42.66222222","-75.62472222","","","","","","","","/item.html?id=361"
"Steere Cemetery","","","","cemetery","McDonough","42.52555556","-75.66694444","","","","","","","","/item.html?id=362"
"Steere Cemetery","","","","cemetery","New Berlin","42.64888889","-75.33111111","","","","","","","","/item.html?id=363"
"Stevens Cemetery","","","","cemetery","Afton","42.20527778","-75.62222222","","","","","","","","/item.html?id=364"
"Stewart&#39;s Corners Cemetery","","","","cemetery","Plymouth","42.60444444","-75.58583333","","","","","","","","/item.html?id=365"
"Stover Cemetery","","","","cemetery","Smyrna","42.655801075319","-75.5695834555513","","","","","","","","/item.html?id=366"
"Sunset Hill Cemetery","","","","cemetery","Guilford","42.40638889","-75.49805556","","","","","","","","/item.html?id=367"
"Sylvan Lawn Cemetery","","","","cemetery","Greene","42.32666667","-75.76111111","","","","","","","","/item.html?id=368"
"Terwilliger Cemetery","","","","cemetery","Greene","42.25222222","-75.82527778","","","","","","","","/item.html?id=371"
"Tiffany Cemetery","","","","cemetery","North Norwich","42.58694444","-75.45777778","","","","","","","","/item.html?id=372"
"Tillotsen Cemetery","","","","cemetery","Greene","42.25333333","-75.72944444","","","","","","","","/item.html?id=373"
"Tillotson Cemetery","","","","cemetery","Columbus","42.72361111","-75.42583333","","","","","","","","/item.html?id=374"
"Tillotson Cemetery","","","","cemetery","McDonough","","","","","","","","","","/item.html?id=375"
"Towsley-Fairchild Cemetery","","","","cemetery","Smithville","42.43333333","-75.7475","","","","","","","","/item.html?id=376"
"Towsley-Moore Cemetery","","","","cemetery","Smithville","42.42777778","-75.7325","","","","","","","","/item.html?id=377"
"Towsley-Pond Cemetery","","","","cemetery","Smithville","42.42277778","-75.72861111","","","","","","","","/item.html?id=378"
"Tremain Cemetery","","","","cemetery","Greene","42.36138889","-75.68222222","","","","","","","","/item.html?id=379"
"Tucker Burial Plot","","","","cemetery","Pharsalia","","","","","","","","","","/item.html?id=380"
"Twitchell Cemetery","","","","cemetery","McDonough","42.5125","-75.72361111","","","","","","","","/item.html?id=382"
"Union Cemetery","","","","cemetery","McDonough","42.49972222","-75.77166667","","","","","","","","/item.html?id=384"
"Union Valley Cemetery","","","","cemetery","Bainbridge","","","","","","","","","","/item.html?id=385"
"Unknown Cemetery","","","","cemetery","New Berlin","","","","","","","","","","/item.html?id=386"
"Unnamed #1 Cemetery","","","","cemetery","McDonough","42.54083333","-75.69388889","","","","","","","","/item.html?id=387"
"Unnamed #1 Cemetery","","","","cemetery","Oxford","","","","","","","","","","/item.html?id=388"
"Unnamed #2 Cemetery","","","","cemetery","McDonough","42.49805556","-75.76666667","","","","","","","","/item.html?id=389"
"Unnamed #2 Cemetery","","","","cemetery","Oxford","","","","","","","","","","/item.html?id=390"
"Unnamed #3 Cemetery","","","","cemetery","McDonough","42.47444444","-75.72694444","","","","","","","","/item.html?id=391"
"Upper Geneganslet Cemetery","","","","cemetery","Greene","42.34777778","-75.80222222","","","","","","","","/item.html?id=392"
"Upper Phelps Cemetery","","","","cemetery","New Berlin","42.54416667","-75.37222222","","","","","","","","/item.html?id=394"
"Upper Smithville Flats Cemetery","","","","cemetery","Smithville","42.39888889","-75.8075","","","","","","","","/item.html?id=395"
"Valley View Cemetery","","","","cemetery","Otselic","42.64527778","-75.78194444","","","","image/jpeg","","","","/item.html?id=396"
"Van Ness Cemetery","","","","cemetery","Greene","42.32","-75.72777778","","","","","","","","/item.html?id=397"
"Van Wagenen Cemetery","","","","cemetery","Oxford","42.44638889","-75.58","","","","","","","","/item.html?id=398"
"Village Cemetery","","","","cemetery","Oxford","42.44333333","-75.60222222","","","","","","","","/item.html?id=399"
"Volmer&#39;s Farm Cemetery","","","","cemetery","Sherburne","","","","","","","","","","/item.html?id=400"
"Vroman Cemetery","","","","cemetery","Pharsalia","42.59166667","-75.70111111","","","","","","","","/item.html?id=401"
"Wait Cemetery","","","","cemetery","Preston","42.53222222","-75.62388889","","","","","","","","/item.html?id=402"
"Waldron Cemetery","","","","cemetery","Smithville","42.42361111","-75.78527778","","","","","","","","/item.html?id=403"
"Watson Cemetery","","","","cemetery","Greene","42.33833333","-75.7625","","","","","","","","/item.html?id=404"
"Wayside Rest Cemetery","","","","cemetery","Pharsalia","42.51","-75.78638889","","","","","","","","/item.html?id=405"
"Wells Cemetery","","","","cemetery","Preston","42.50805556","-75.56805556","","","","","","","","/item.html?id=406"
"West Bainbridge Cemetery","","","","cemetery","Bainbridge","42.32222222","-75.53583333","","","","","","","","/item.html?id=407"
"Westview Cemetery","","","","cemetery","German","42.49166667","-75.86166667","","","","","","","","/item.html?id=410"
"Whipple Farm Plot","","","","cemetery","McDonough","","","","","","","","","","/item.html?id=411"
"White Cemetery","","","","cemetery","Pharsalia","42.56777778","-75.69611111","","","","","","","","/item.html?id=413"
"Whitmarsh Cemetery","","","","cemetery","Greene","42.36861111","-75.80166667","","","","","","","","/item.html?id=414"
"Widger Cemetery","","","","cemetery","Preston","42.49083333","-75.64694444","","","","","","","","/item.html?id=415"
"Wilcox Cemetery","","","","cemetery","Oxford","42.42638889","-75.64083333","","","","","","","","/item.html?id=418"
"Willard Cemetery","","","","cemetery","Greene","42.24972222","-75.82805556","","","","","","","","/item.html?id=420"
"WRC (New York State) Veterans Home Cemetery","","","","cemetery","Oxford","42.44611111","-75.5775","","","","","","","","/item.html?id=424"
"Wyatt Cemetery","","","","cemetery","German","42.53166667","-75.81555556","","","","","","","","/item.html?id=425"
"Yale Cemetery","","","","cemetery","McDonough","42.52638889","-75.76138889","","","","","","","","/item.html?id=428"
"Yaleville Cemetery","","","","cemetery","Guilford","42.36138889","-75.50027778","","","","","","","","/item.html?id=429"
"Yeomans Cemetery","","","","cemetery","Preston","42.51722222","-75.62222222","","","","","","","","/item.html?id=430"
"Glenwood Cemetery","","","","cemetery","Afton","42.231713","-75.532377","","","","","","","","/item.html?id=433"
"Church Hollow Cemetery","","","","cemetery","Afton","42.216403","-75.61821","","","","","","","","/item.html?id=436"
"Melondy Hill Cemetery","","","","cemetery","Afton","42.202893","-75.464951","","","","","","","","/item.html?id=438"
"West Bainbridge Cemetery","","","","cemetery","Bainbridge","42.322701","-75.535379","","","","","","","","/item.html?id=441"
"Bush Family Cemetery","","","","cemetery","Bainbridge","42.301053","-75.466879","","","","","","","","/item.html?id=442"
"Bennettsville Cemetery","","","","cemetery","Bainbridge","42.256631","-75.450079","","","","","","","","/item.html?id=444"
"Campbell Cemetery","","","","cemetery","Columbus","42.700376","-75.402199","","","","","","","","/item.html?id=446"
"Millers Corner Cemetery","","","","cemetery","Columbus","42.709668","-75.359938","","","","","","","","/item.html?id=447"
"Perkins Cemetery","","","","cemetery","Columbus","42.703438","-75.3209","","","","","","","","/item.html?id=448"
"Columbus Quarter Cemetery","","","","cemetery","Columbus","42.709497","-75.317902","","","","","","","","/item.html?id=449"
"Columbus Center Cemetery","","","","cemetery","Columbus","42.673693","-75.364597","","","","","","","","/item.html?id=450"
"Lambs Corners Cemetery","","","","cemetery","Columbus","42.682858","-75.328071","","","","","","","","/item.html?id=451"
"Pendleton Cemetery","","","","cemetery","Columbus","42.64497","-75.367016","","","","","","","","/item.html?id=452"
"Wylie Cemetery","","","","cemetery","Coventry","42.28584","-75.638471","","","","","","","","/item.html?id=456"
"Old Chapel Cemetery","","","","cemetery","Coventry","42.283964","-75.658145","","","","","","","","/item.html?id=457"
"Barnes Cemetery","","","","cemetery","Greene","42.349325","-75.844354","","","","","","","","/item.html?id=461"
"Cummings Cemetery","","","","cemetery","Greene","42.363793","-75.771482","","","","","","","","/item.html?id=462"
"Tillotson Cemetery","","","","cemetery","Greene","42.352681","-75.728995","","","","","","","","/item.html?id=463"
"Morse Cemetery","","","","cemetery","Greene","42.327462","-75.80203","","","","","","","","/item.html?id=465"
"Lower Geneganslet Cemetery","","","","cemetery","Greene","42.299159","-75.805349","","","","","","","","/item.html?id=468"
"Winston Cemetery","","","","cemetery","Greene","42.280822","-75.737331","","","","","","","","/item.html?id=469"
"Upper Page Brook Cemetery","","","","cemetery","Greene","42.294543","-75.712494","","","","","","","","/item.html?id=470"
"Elliott Cemetery","","","","cemetery","Greene","42.259051","-75.763175","","","","","","","","/item.html?id=471"
"Oak Grove Cemetery","","","","cemetery","Greene","42.249515","-75.828423","","","","","","","","/item.html?id=472"
"Shumway Cemetery","","","","cemetery","Guilford","42.452608","-75.475258","","","","","","","","/item.html?id=473"
"Cemetery","","","","cemetery","Guilford","42.412498","-75.504019","","","","","","","","/item.html?id=474"
"Town Of Guilford","","","","cemetery","Guilford","42.4259","-75.381843","","","","","","","","/item.html?id=477"
"Mount Upton Cemetery","","","","cemetery","Guilford","42.415103","-75.380312","","","","","","","","/item.html?id=478"
"Gospel Hill Cemetery","","","","cemetery","Guilford","42.406124","-75.515437","","","","","","","","/item.html?id=479"
"Guilford Cemetery","","","","cemetery","Guilford","42.407959","-75.497887","","","","","","","","/item.html?id=481"
"Rockdale Cemetery","","","","cemetery","Guilford","42.390102","-75.404963","","","","","","","","/item.html?id=482"
"Ives Settlement Cemetery","","","","cemetery","Guilford","42.378787","-75.45867","","","","","","","","/item.html?id=483"
"Trestle Cemetery","","","","cemetery","Guilford","42.377396","-75.438931","","","","","","","","/item.html?id=484"
"Yale Cemetery","","","","cemetery","Guilford","42.34937","-75.512998","","","","","","","","/item.html?id=485"
"Yaleville Cemetery","","","","cemetery","Guilford","42.361347","-75.500625","","","","","","","","/item.html?id=486"
"Cooper Cemetery","","","","cemetery","Guilford","42.347751","-75.489239","","","","","","","","/item.html?id=487"
"White Cemetery","","","","cemetery","Guilford","42.359015","-75.452381","","","","","","","","/item.html?id=488"
"East Guilford Cemetery","","","","cemetery","Guilford","42.340929","-75.405863","","","","","","","","/item.html?id=489"
"Guilford Historical Society","","","","cemetery","Guilford","42.391553","-75.516369","","","","","","","","/item.html?id=493"
"Red School House Cemetery","","","","cemetery","Lincklaen","42.719215","-75.887274","","","","","","","","/item.html?id=494"
"Lincklaen Center Cemetery","","","","cemetery","Lincklaen","42.710026","-75.84954","","","","","","","","/item.html?id=495"
"Woodlawn Cemetery","","","","cemetery","Lincklaen","42.672199","-75.870564","","","","","","","","/item.html?id=496"
"Freeman Cemetery","","","","cemetery","Lincklaen","42.645863","-75.85797","","","","","","","","/item.html?id=498"
"Union Cemetery","","","","cemetery","Mcdonough","42.501245","-75.771623","","","","","","","","/item.html?id=499"
"Miller-Gale Cemetery","","","","cemetery","Mcdonough","42.511775","-75.687478","","","","","","","","/item.html?id=500"
"Lewis Cemetery","","","","cemetery","Mcdonough","42.49987","-75.768055","","","","","","","","/item.html?id=501"
"Presbyterian Cemetery","","","","cemetery","Mcdonough","42.499604","-75.768118","","","","","","","","/item.html?id=502"
"Corbin Cemetary","","","","cemetery","Mcdonough","42.482334","-75.684951","","","","","","","","/item.html?id=503"
"Moore Cemetery","","","","cemetery","Mcdonough","42.466615","-75.686203","","","","","","","","/item.html?id=504"
"Steere Cemetery","","","","cemetery","Mcdonough","42.525485","-75.669835","","","","","","","","/item.html?id=505"
"Fairview Cemetery","","","","cemetery","New Berlin","42.621522","-75.335535","","","","","","","","/item.html?id=507"
"Medbury Cemetery","","","","cemetery","New Berlin","42.629107","-75.382341","","","","","","","","/item.html?id=509"
"Dyer Cemetery","","","","cemetery","New Berlin","42.612034","-75.415513","","","","","","","","/item.html?id=510"
"Wightman Cemetery","","","","cemetery","New Berlin","42.562265","-75.401197","","","","","","","","/item.html?id=512"
"Rich Cemetery","","","","cemetery","New Berlin","42.537654","-75.399865","","","","","","","","/item.html?id=514"
"Holmesville Cemetery","","","","cemetery","New Berlin","42.516958","-75.399199","","","","","","","","/item.html?id=516"
"North Norwich Cemetery","","","","cemetery","North Norwich","42.619322","-75.519194","","","","","","","","/item.html?id=517"
"King Settlement Cemetery","","","","cemetery","North Norwich","42.594725","-75.46357","","","","","","","","/item.html?id=518"
"Buell Cemetery","","","","cemetery","North Norwich","42.601237","-75.458283","","","","","","","","/item.html?id=519"
"Plasterville Cemetery","","","","cemetery","North Norwich","42.585918","-75.522291","","","","","","","","/item.html?id=520"
"Aldrich Cemetery","","","","cemetery","Norwich","42.551704","-75.544808","","","","","","","","/item.html?id=521"
"St Paul Cemetery","","","","cemetery","Norwich","42.554915","-75.528087","","","","","","","","/item.html?id=523"
"Woods Corner Cemetery","","","","cemetery","Norwich","42.556649","-75.519135","","","","","","","","/item.html?id=524"
"Burlingame Cemetery","","","","cemetery","Norwich","42.519247","-75.510444","","","","","","","","/item.html?id=530"
"Hoag Cemetery","","","","cemetery","Norwich","42.482175","-75.450603","","","","","","","","/item.html?id=531"
"White Store Cemetery","","","","cemetery","Norwich","42.483653","-75.406052","","","","","","","","/item.html?id=532"
"Maple Grove Cemetery","","","","cemetery","Otselic","42.710813","-75.730647","","","","","","","","/item.html?id=533"
"7th Day Hollow Baptist Cemeter","","","","cemetery","Otselic","42.684667","-75.761458","","","","","","","","/item.html?id=534"
"Tallett Hill Cemetery","","","","cemetery","Otselic","42.6656376660705","-75.7251591805606","","","","","","","","/item.html?id=536"
"Cole Hill Cemetery","","","","cemetery","Otselic","42.650199","-75.686803","","","","","","","","/item.html?id=537"
"Riverview Cemetery","","","","cemetery","Oxford","42.442729","-75.585412","","","","","","","","/item.html?id=541"
"Cemetery","","","","cemetery","Oxford","42.459216","-75.580447","","","","","","","","/item.html?id=542"
"Van Wagener Cemetery","","","","cemetery","Oxford","42.446507","-75.579138","","","","","","","","/item.html?id=545"
"Millbrook Cemetery","","","","cemetery","Oxford","42.42918","-75.623142","","","","","","","","/item.html?id=547"
"Cemetery","","","","cemetery","Oxford","42.407973","-75.535645","","","","","","","","/item.html?id=548"
"Little Falls Burying Ground","","","","cemetery","Oxford","42.39419","-75.60401","","","","","","","","/item.html?id=549"
"Tenbroeck Cemetery","","","","cemetery","Oxford","42.376169","-75.655008","","","","","","","","/item.html?id=551"
"Cemetery","","","","cemetery","Oxford","42.375258","-75.522222","","","","","","","","/item.html?id=552"
"LeGar, Martha","","","","cemetery","Oxford","42.422891","-75.643104","","","","","","","","/item.html?id=553"
"Northwest Corners Cemetery","","","","cemetery","Pharsalia","42.629722","-75.772683","","","","","","","","/item.html?id=554"
"Center Cemetery","","","","cemetery","Pharsalia","42.599419","-75.752648","","","","","","","","/item.html?id=555"
"Wayside Rest Cemetery","","","","cemetery","Pharsalia","42.578024","-75.784737","","","","","","","","/item.html?id=556"
"East Pharsalia Cemetery","","","","cemetery","Pharsalia","42.556321","-75.7177","","","","","","","","/item.html?id=557"
"Pink Hill Cemetery","","","","cemetery","Pitcher","42.623524","-75.861373","","","","","","","","/item.html?id=558"
"North Pitcher Episcopal Church Cemetery","","","","cemetery","Pitcher","42.625079","-75.818186","","","","","","","","/item.html?id=559"
"Ufford Cemetery","","","","cemetery","Pitcher","42.630212","-75.808688","","","","","","","","/item.html?id=560"
"Presbyterian Cemetery","","","","cemetery","Plymouth","42.619668","-75.606031","","","","","","","","/item.html?id=563"
"South Side Plymouth Cemetery","","","","cemetery","Plymouth","42.615471","-75.597815","","","","","","","","/item.html?id=564"
"Heady&#39;s Corners (Heady) Cemetery","","","","cemetery","Plymouth","42.560058","-75.6178","","","","","","","","/item.html?id=566"
"Levee Cemetery","","","","cemetery","Plymouth","42.596888","-75.646851","","","","","","","","/item.html?id=567"
"Daniels Cemetery","","","","cemetery","Preston","42.550152","-75.666529","","","","","","","","/item.html?id=568"
"J D Lewis Cemetery","","","","cemetery","Preston","42.530715","-75.638654","","","","","","","","/item.html?id=569"
"Packer Mason Cemetery","","","","cemetery","Preston","42.536438","-75.598183","","","","","","","","/item.html?id=570"
"Brown Cemetery","","","","cemetery","Preston","42.509734","-75.633996","","","","","","","","/item.html?id=571"
"Rogers Cemetery","","","","cemetery","Preston","42.507535","-75.633577","","","","","","","","/item.html?id=572"
"Rogers Cemetery","","","","cemetery","Preston","42.494963","-75.63336","","","","","","","","/item.html?id=573"
"Lewis Cemetery","","","","cemetery","Preston","42.486443","-75.565583","","","","","","","","/item.html?id=574"
"Whispering Pines Cemetery","","","","cemetery","Preston","42.483117","-75.564039","","","","","","","","/item.html?id=575"
"Mason-Packer Cemetery","","","","cemetery","Preston","42.4898","-75.590492","","","","","","","","/item.html?id=576"
"Turner Cemetery","","","","cemetery","Preston","42.497246","-75.574856","","","","","","","","/item.html?id=577"
"St Malachy&#39;s Church","","","","cemetery","Sherburne","42.688391","-75.49295","","","","","","","","/item.html?id=578"
"West Hill Cemetery","","","","cemetery","Sherburne","42.694589","-75.532298","","","","","","","","/item.html?id=582"
"Sherburne Quarter","","","","cemetery","Sherburne","42.693096","-75.507088","","","","","","","","/item.html?id=583"
"East Hill Cemetery","","","","cemetery","Sherburne","42.691752","-75.453883","","","","","","","","/item.html?id=585"
"Harrisville Cemetery","","","","cemetery","Sherburne","42.68028","-75.46482","","","","","","","","/item.html?id=586"
"Waldon Cemetery","","","","cemetery","Smithville","42.441094","-75.774545","","","","","","","","/item.html?id=588"
"Perkins Cemetery","","","","cemetery","Smithville","42.441696","-75.759655","","","","","","","","/item.html?id=589"
"Clobridge Family Cemetery Corp","","","","cemetery","Smithville","42.448361","-75.707457","","","","","","","","/item.html?id=590"
"Wilcox Cemetery","","","","cemetery","Smithville","42.444027","-75.664166","","","","","","","","/item.html?id=591"
"Loomis Cemetery","","","","cemetery","Smithville","42.435191","-75.664202","","","","","","","","/item.html?id=592"
"Cowles Cemetery","","","","cemetery","Smithville","42.401503","-75.729299","","","","","","","","/item.html?id=596"
"Knickerbocker Cemetery","","","","cemetery","Smithville","42.399922","-75.758495","","","","","","","","/item.html?id=597"
"Knickerbocker Cemetery","","","","cemetery","Smithville","42.399922","-75.758495","","","","","","","","/item.html?id=598"
"Miller Cemetery","","","","cemetery","Smithville","42.410944","-75.706142","","","","","","","","/item.html?id=599"
"Maple Grove Cemetery","","","","cemetery","Smithville","42.388384","-75.808871","","","","","","","","/item.html?id=600"
"West Cemetery Of Smyrna","","","","cemetery","Smyrna","42.686845","-75.574989","","","","","","","","/item.html?id=601"
"Smyrna East Cemetery","","","","cemetery","Smyrna","42.688056","-75.565102","","","","","","","","/item.html?id=602"
"Wilcox Cemetery","","","","cemetery","Smyrna","42.721301","-75.553405","","","","","","","","/item.html?id=604"
"Dehne, Perry","","","","cemetery","Smyrna","42.708249","-75.593629","","","","","","","","/item.html?id=606"

