title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,reference_url
"Randall-Miles Farm Plot","","","See McNitt Cemetery","cemetery","Norwich","","","","","","","","","","/item.html?id=58"
"Hull Cemetery","","","See Mead Cemetery","cemetery","Oxford","","","","","","","","","","/item.html?id=59"
"Little Falls Cemetery","","","See Mead Cemetery","cemetery","Oxford","","","","","","","","","","/item.html?id=60"
"West Cemetery","","","See Medbury Cemetery","cemetery","New Berlin","","","","","","","","","","/item.html?id=61"
"Griffin Cemetery","","","See Medbury-Arnold Cemetery","cemetery","New Berlin","","","","","","","","","","/item.html?id=62"
"Wright Farm Plot","","","See Merrick Cemetery","cemetery","Oxford","","","","","","","","","","/item.html?id=63"
"Church Cemetery","","","See Millbrook Cemetery","cemetery","Oxford","","","","","","","","","","/item.html?id=64"
"Robinson Farm Plot","","","See Moore Cemetery","cemetery","Oxford","","","","","","","","","","/item.html?id=65"
"Petley Farm Plot","","","See Morgan Cemetery","cemetery","Guilford","","","","","","","","","","/item.html?id=66"
"Rockdale Cemetery","","","See Morgan Cemetery","cemetery","Guilford","","","","","","","","","","/item.html?id=67"
"Perkins Farm Cemetery","","","See Nichols Cemetery","cemetery","Smithville","","","","","","","","","","/item.html?id=68"
"Old Greene Burial Ground","","","See North Canal Street Cemetery","cemetery","Greene","","","","","","","","","","/item.html?id=69"
"Barnes Cemetery","","","See North Pharsalia Cemetery","cemetery","Pharsalia","","","","","","","","","","/item.html?id=70"
"Kirk Cemetery","","","See North Pharsalia Cemetery","cemetery","Pharsalia","","","","","","","","","","/item.html?id=71"
"Chapel Cemetery","","","See Old Chapel Cemetery","cemetery","Coventry","","","","","","","","","","/item.html?id=72"
"Shapley Farm Plot","","","See Padget Cemetery","cemetery","Oxford","","","","","","","","","","/item.html?id=73"
"Palmer&#39;s Corners Cemetery","","","See Palmer Cemetery","cemetery","Sherburne","","","","","","","","","","/item.html?id=74"
"Prince Farm Cemetery","","","See Parks Cemetery","cemetery","Bainbridge","","","","","","","","","","/item.html?id=75"
"Burr-Hoag Cemetery","","","See Phetterplace Cemetery","cemetery","Norwich","","","","","","","","","","/item.html?id=76"
"Hoag Cemetery","","","See Phetterplace Cemetery","cemetery","Norwich","","","","","","","","","","/item.html?id=77"
